run_id,source,request_count,failed_or_missing_client,input_present,client_present,server_requests_present,scheduling_available,aged_call_fraction,include_text,absent_optional_files
20260911-aged-cost-prefix-r1-s2-tau300000-n600,runs/20260911-aged-cost-prefix-r1-s2-tau300000-n600,600,0,True,True,True,True,0.41836734693877553,False,
20260911-aged-remaining-prefix-r1-s2-tau300000-n600,runs/20260911-aged-remaining-prefix-r1-s2-tau300000-n600,600,0,True,True,True,True,0.4186498300145702,False,cost-model.json
20260911-extra-burst-decode-r1-s1-fcfs-n300,runs/20260911-extra-burst-decode-r1-s1-fcfs-n300,300,0,True,True,True,True,,False,cost-model.json
20260911-extra-burst-decode-r1-s1-short-remaining-k0-n300,runs/20260911-extra-burst-decode-r1-s1-short-remaining-k0-n300,300,0,True,True,True,True,0.0,False,cost-model.json
20260911-extra-hot-prefix-r1-s1-fcfs-n300,runs/20260911-extra-hot-prefix-r1-s1-fcfs-n300,300,0,True,True,True,True,,False,cost-model.json
20260911-extra-hot-prefix-r1-s1-short-remaining-k0-n300,runs/20260911-extra-hot-prefix-r1-s1-short-remaining-k0-n300,300,0,True,True,True,True,0.0,False,cost-model.json
20260911-extra-long-wait-r1-s1-fcfs-n300,runs/20260911-extra-long-wait-r1-s1-fcfs-n300,300,0,True,True,True,True,,False,cost-model.json
20260911-extra-long-wait-r1-s1-short-remaining-k0-n300,runs/20260911-extra-long-wait-r1-s1-short-remaining-k0-n300,300,0,True,True,True,True,0.0,False,cost-model.json
20260911-loadscan-prefix-r05-s1-fcfs,runs/20260911-loadscan-prefix-r05-s1-fcfs,300,0,True,True,True,True,,False,cost-model.json
20260911-loadscan-prefix-r1-s1-fcfs,runs/20260911-loadscan-prefix-r1-s1-fcfs,300,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s1-dfs-weight-n600,runs/20260911-main-prefix-r05-s1-dfs-weight-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s1-fcfs-n600,runs/20260911-main-prefix-r05-s1-fcfs-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s1-hrrn-n600,runs/20260911-main-prefix-r05-s1-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s1-lpm-n600,runs/20260911-main-prefix-r05-s1-lpm-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s1-short-remaining-k0-n600,runs/20260911-main-prefix-r05-s1-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-main-prefix-r05-s2-dfs-weight-n600,runs/20260911-main-prefix-r05-s2-dfs-weight-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s2-fcfs-n600,runs/20260911-main-prefix-r05-s2-fcfs-n600,600,1,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s2-hrrn-n600,runs/20260911-main-prefix-r05-s2-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s2-lpm-n600,runs/20260911-main-prefix-r05-s2-lpm-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s2-short-remaining-k0-n600,runs/20260911-main-prefix-r05-s2-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-main-prefix-r05-s3-dfs-weight-n600,runs/20260911-main-prefix-r05-s3-dfs-weight-n600,600,1,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s3-fcfs-n600,runs/20260911-main-prefix-r05-s3-fcfs-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s3-hrrn-n600,runs/20260911-main-prefix-r05-s3-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s3-lpm-n600,runs/20260911-main-prefix-r05-s3-lpm-n600,600,1,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r05-s3-short-remaining-k0-n600,runs/20260911-main-prefix-r05-s3-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-main-prefix-r1-s1-dfs-weight-n600,runs/20260911-main-prefix-r1-s1-dfs-weight-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s1-fcfs-n600,runs/20260911-main-prefix-r1-s1-fcfs-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s1-hrrn-n600,runs/20260911-main-prefix-r1-s1-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s1-lpm-n600,runs/20260911-main-prefix-r1-s1-lpm-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s1-short-remaining-k0-n600,runs/20260911-main-prefix-r1-s1-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-main-prefix-r1-s2-dfs-weight-n600,runs/20260911-main-prefix-r1-s2-dfs-weight-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s2-fcfs-n600,runs/20260911-main-prefix-r1-s2-fcfs-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s2-hrrn-n600,runs/20260911-main-prefix-r1-s2-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s2-lpm-n600,runs/20260911-main-prefix-r1-s2-lpm-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s2-short-remaining-k0-n600,runs/20260911-main-prefix-r1-s2-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-main-prefix-r1-s3-dfs-weight-n600,runs/20260911-main-prefix-r1-s3-dfs-weight-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s3-fcfs-n600,runs/20260911-main-prefix-r1-s3-fcfs-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s3-hrrn-n600,runs/20260911-main-prefix-r1-s3-hrrn-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s3-lpm-n600,runs/20260911-main-prefix-r1-s3-lpm-n600,600,0,True,True,True,True,,False,cost-model.json
20260911-main-prefix-r1-s3-short-remaining-k0-n600,runs/20260911-main-prefix-r1-s3-short-remaining-k0-n600,600,0,True,True,True,True,0.0,False,cost-model.json
20260911-no-trace-prefix-r4-s2-short-remaining-k64,runs/20260911-no-trace-prefix-r4-s2-short-remaining-k64,300,0,True,True,False,False,,False,server-trace.json;cost-model.json;gpu.jsonl
20260911-short-remaining-prefix-r4-s2-k0,runs/20260911-short-remaining-prefix-r4-s2-k0,0,0,False,False,False,False,,False,run.json;summary.json;server-info.json;server-trace.json;input.meta.json;cost-model.json;gpu.jsonl;environment-gpu.txt;environment-packages.txt
20260911-short-remaining-prefix-r4-s2-k0-retry1,runs/20260911-short-remaining-prefix-r4-s2-k0-retry1,300,0,True,True,True,True,0.0,False,cost-model.json
